id,dut,categories,test,description,inputs,result,messages
654,Site1-L3,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.0.255.2 - Peer: Site1-S2,PASS,
655,Site1-L3,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.0.255.3 - Peer: Site1-S3,PASS,
656,Site1-L3,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.168.250.1 - Peer: DCI-1,FAIL,The following route(s) are missing from the routing table of VRF default: ['192.168.250.1']
657,Site1-L3,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.168.250.2 - Peer: DCI-2,FAIL,The following route(s) are missing from the routing table of VRF default: ['192.168.250.2']
658,Site1-L3,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.168.250.3 - Peer: DCI-3,FAIL,The following route(s) are missing from the routing table of VRF default: ['192.168.250.3']
659,Site1-L3,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.2.254.23 - Peer: Site2-L1,FAIL,The following route(s) are missing from the routing table of VRF default: ['192.2.254.23']
660,Site1-L3,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.2.254.24 - Peer: Site2-L2,FAIL,The following route(s) are missing from the routing table of VRF default: ['192.2.254.24']
661,Site1-L3,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.2.254.25 - Peer: Site2-L3,FAIL,The following route(s) are missing from the routing table of VRF default: ['192.2.254.25']
662,Site1-L3,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.2.254.27 - Peer: Site2-BGW1,FAIL,The following route(s) are missing from the routing table of VRF default: ['192.2.254.27']
663,Site1-L3,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.2.254.28 - Peer: Site2-BGW2,FAIL,The following route(s) are missing from the routing table of VRF default: ['192.2.254.28']
664,Site1-L3,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.2.254.29 - Peer: Site2-BGW3,FAIL,The following route(s) are missing from the routing table of VRF default: ['192.2.254.29']
665,Site1-L3,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.2.255.1 - Peer: Site2-S1,FAIL,The following route(s) are missing from the routing table of VRF default: ['192.2.255.1']
666,Site1-L3,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.2.255.2 - Peer: Site2-S2,FAIL,The following route(s) are missing from the routing table of VRF default: ['192.2.255.2']
667,Site1-L3,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.2.255.23 - Peer: Site2-L1,FAIL,The following route(s) are missing from the routing table of VRF default: ['192.2.255.23']
668,Site1-L3,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.2.255.24 - Peer: Site2-L2,FAIL,The following route(s) are missing from the routing table of VRF default: ['192.2.255.24']
669,Site1-L3,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.2.255.25 - Peer: Site2-L3,FAIL,The following route(s) are missing from the routing table of VRF default: ['192.2.255.25']
670,Site1-L3,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.2.255.26 - Peer: Site2-L4,FAIL,The following route(s) are missing from the routing table of VRF default: ['192.2.255.26']
671,Site1-L3,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.2.255.27 - Peer: Site2-BGW1,FAIL,The following route(s) are missing from the routing table of VRF default: ['192.2.255.27']
672,Site1-L3,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.2.255.28 - Peer: Site2-BGW2,FAIL,The following route(s) are missing from the routing table of VRF default: ['192.2.255.28']
673,Site1-L3,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.2.255.29 - Peer: Site2-BGW3,FAIL,The following route(s) are missing from the routing table of VRF default: ['192.2.255.29']
